0.01	0.155299
0.02	0.690139
0.03	0.714507
0.04	0.736964
0.05	0.757384
0.06	0.775673
0.07	0.791768
0.08	0.80563
0.09	0.81724
0.1	0.826591
0.11	0.833682
0.12	0.838507
0.13	0.841052
0.14	0.841283
0.15	0.839145
0.16	0.83456
0.17	0.827427
0.18	0.817622
0.19	0.805012
0.2	0.789458
0.21	0.770832
0.22	0.74903
0.23	0.723985
0.24	0.695686
0.25	0.664191
0.26	0.629635
0.27	0.592244
0.28	0.55233
0.29	0.510296
0.3	0.466624
0.31	0.421866
0.32	0.376623
0.33	0.33153
0.34	0.287233
0.35	0.244372
0.36	0.203557
0.37	0.165355
0.38	0.130275
0.39	0.0987631
0.4	0.0711928
0.41	0.0478654
0.42	0.029011
0.43	0.0147907
0.44	0.00530112
0.45	0.000578253
0.46	0.000601698
0.47	0.00529782
0.48	0.0145423
0.49	0.0281617
0.5	0.0459353
0.51	0.0675957
0.52	0.0928312
0.53	0.121288
0.54	0.152576
0.55	0.18627
0.56	0.221922
0.57	0.259068
0.58	0.297235
0.59	0.335956
0.6	0.374778
0.61	0.413272
0.62	0.451043
0.63	0.487738
0.64	0.52305
0.65	0.556726
0.66	0.588562
0.67	0.618408
0.68	0.646164
0.69	0.671774
0.7	0.695226
0.71	0.716542
0.72	0.735771
0.73	0.752989
0.74	0.768287
0.75	0.781769
0.76	0.793546
0.77	0.803732
0.78	0.812441
0.79	0.819787
0.8	0.825877
0.81	0.830815
0.82	0.834698
0.83	0.837619
0.84	0.839663
0.85	0.840912
0.86	0.841442
0.87	0.841323
0.88	0.840625
0.89	0.839413
0.9	0.837748
0.91	0.835692
0.92	0.833302
0.93	0.830636
0.94	0.827749
0.95	0.824693
0.96	0.821522
0.97	0.818285
0.98	0.815031
0.99	0.811806
